trx_id,sk_order,sk_product,product_name,product_category,product_discontinued,sk_customers,customer_companyname,customer_title,sk_supplier,supplier_companyname,sk_employee,employee_name,employee_title,sk_shipper,ship_city,ship_country,ship_region,shipped_date,shipper_companyname,sk_orderdate,tanggal,tahun_angka,bulan,kuartal,hari_dalam_bulan_angka,unitprice,quantity,discount,freight,amount
41,15,5,Chef Anton's Gumbo Mix,Condiments,Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,1,New Orleans Cajun Delights,8,Ms. Laura Callahan,Inside Sales Coordinator,3,Albuquerque,United States of America,New Mexico,1996/07/25 00:00:00.000000000,Federal Shipping,19960722,1996/07/22 00:00:00.000000000,1996,July,Q3,22,17.0,12,0.2,48.29,204
42,15,7,Uncle Bob's Organic Dried Pears,Produce,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,7,Grandma Kelly's Homestead,8,Ms. Laura Callahan,Inside Sales Coordinator,3,Albuquerque,United States of America,New Mexico,1996/07/25 00:00:00.000000000,Federal Shipping,19960722,1996/07/22 00:00:00.000000000,1996,July,Q3,22,24.0,15,0.0,48.29,360
43,15,56,Gnocchi di nonna Alice,Grains/Cereals,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,26,Pasta Buttini s.r.l.,8,Ms. Laura Callahan,Inside Sales Coordinator,3,Albuquerque,United States of America,New Mexico,1996/07/25 00:00:00.000000000,Federal Shipping,19960722,1996/07/22 00:00:00.000000000,1996,July,Q3,22,30.4,2,0.0,48.29,60
58,22,33,Geitost,Dairy Products,Not Discontinued,89,White Clover Markets,Owner,16,Norske Meierier,5,Mr. Steven Buchanan,Sales Manager,1,Seattle,United States of America,Washington,1996/08/09 00:00:00.000000000,Speedy Express,19960731,1996/07/31 00:00:00.000000000,1996,July,Q3,31,2.0,60,0.05,4.56,120
59,22,72,Mozzarella di Giovanni,Dairy Products,Not Discontinued,89,White Clover Markets,Owner,4,Formaggi Fortini s.r.l.,5,Mr. Steven Buchanan,Sales Manager,1,Seattle,United States of America,Washington,1996/08/09 00:00:00.000000000,Speedy Express,19960731,1996/07/31 00:00:00.000000000,1996,July,Q3,31,27.8,20,0.05,4.56,560
62,24,33,Geitost,Dairy Products,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,16,Norske Meierier,6,Mr. Michael Suyama,Sales Representative,2,Lander,United States of America,Wyoming,1996/08/30 00:00:00.000000000,United Package,19960801,1996/08/01 00:00:00.000000000,1996,August,Q3,1,2.0,24,0.0,4.54,48
63,25,20,Sir Rodney's Marmalade,Confections,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,11,"Specialty Biscuits, Ltd.",6,Mr. Michael Suyama,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/08/06 00:00:00.000000000,United Package,19960802,1996/08/02 00:00:00.000000000,1996,August,Q3,2,64.8,6,0.0,98.03,390
64,25,31,Gorgonzola Telino,Dairy Products,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,4,Formaggi Fortini s.r.l.,6,Mr. Michael Suyama,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/08/06 00:00:00.000000000,United Package,19960802,1996/08/02 00:00:00.000000000,1996,August,Q3,2,10.0,40,0.0,98.03,400
65,25,72,Mozzarella di Giovanni,Dairy Products,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,4,Formaggi Fortini s.r.l.,6,Mr. Michael Suyama,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/08/06 00:00:00.000000000,United Package,19960802,1996/08/02 00:00:00.000000000,1996,August,Q3,2,27.8,24,0.0,98.03,672
124,47,1,Chai,Beverages,Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,11,"Specialty Biscuits, Ltd.",4,Mrs. Margaret Peacock,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/09/05 00:00:00.000000000,United Package,19960830,1996/08/30 00:00:00.000000000,1996,August,Q3,30,14.4,18,0.0,147.26,252
125,47,17,Alice Mutton,Meat/Poultry,Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,10,"Pavlova, Ltd.",4,Mrs. Margaret Peacock,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/09/05 00:00:00.000000000,United Package,19960830,1996/08/30 00:00:00.000000000,1996,August,Q3,30,31.2,15,0.0,147.26,465
